"word","definition"
"livestock breeding","The raising of livestock by crossing different varieties to obtain new varieties with desired characteristics."
"livestock farming","Breeding of cattle, horses and similar animals."
"living space","Any room, structure or area used as a residence and associated with subsistence activities, including sleeping, relaxing or eating."
"lizard","(Sauria) A reptile of the order Squamata."
"lizard","Any reptile of the suborder Lacertilia, especially those of the family Lacertidae, typically having an elongated body, four limbs, and a small tail: includes the gechos, iguanas, chameleons, monitors, and slow worms."
"load bearing capacity","The maximum load that a system can support before failing."
"teleheating","The supply of heat, either in the form of steam or hot water, from a central source to a group of buildings."
"local traffic","Traffic moving within a city, town, or area and subject to frequent stops, as distinguished from long distance traffic."
"locomotive","A self-propelled engine driven by steam, electricity or diesel power and used for drawing trains along railway tracks."
"long-distance traffic","Traffic moving over extended areas, great distances and usually not subject to frequent stops."
"long-term effect","Effect which will last long after the cause has ceased."
