"word","definition"
"history","A systematic written account comprising a chronological record of events (as affecting a city, state, nation, institution, science, or art) and usually including a philosophical explanation of the cause and origin of such events."
"history","The scientific study of events from a time-related perspective and the passing on of the knowledge obtained by this study for the purpose of education."
"history","the past events concerned in the development of a particular place, object, subject etc."
"holiday","A day on which work is suspended by law or custom, such as a religious festival, bank holiday, etc."
"horse","A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles."
"horticulture","The art and science of growing plants."
"hospital","A place where people who are ill or injured are treated and taken care of by doctors and nurses."
"hospital waste","Solid waste, both biological and non-biological, produced by hospitals and discarded and not intended for further use."
"hotel industry","The industry related with the provision of lodging and usually meals and other services for travelers and other paying guests."
"hot water","Water that has been heated."
"household","A group of persons sharing a home or living space, who aggregate and share their incomes, as evidenced by the fact that they regularly take meals together."
"household","Found in or having its origin in a home."
"housing","Dwelling-houses collectively."
"housing density","The number of dwelling units or the residential population of a given geographic area."
"housing improvement","An addition, renovation or repair to a place of residence that increases its aesthetic, functional or financial value."
"housing quality standard","A norm or measure applicable in legal cases and considered to reflect a relatively high grade or level of excellence in the construction, maintenance, operation, occupancy, use or appearance of dwelling units.\n(Source: BLD)"
"human biology","The study of human life and character."
"human ecology","The study of the growth, distribution, and organization of human communities relative to their interrelationships with other humans and other species and with their environment."
"human health","The avoidance of disease and injury and the promotion of normalcy through efficient use of the environment, a properly functioning society, and an inner sense of well-being.\n(Source: KOREN)"
"human-made disaster","Violent, sudden and destructive change in the environment caused by man."
"human pathology","Branch of medicine concerned with the cause, origin, and nature of disease, including the changes occurring as a result of disease.\n(Source: CED)"
"human physiology","A branch of biological sciences that studies the functions of organs and tissues in human beings.\n(Source: OMD / WOR)"
"human settlement","Cities, towns, villages, and other concentrations of human populations which inhabit a given segment or area of the environment."
"humus","The more or less decomposed organic matter in the soil."
"humus","Earth formed by the decay of vegetable matter."
"humus","A popular dish in the Middle East that consists of cooked, mashed chickpeas, blended with tahini, olive oil, lemon juice, salt and garlic."
"hunting","The pursuit and killing or capture of wild animals."
"hurricane","A tropical cyclone of great intensity; any wind reaching a speed of more than 73 miles per hour (117 kilometers per hour) is said to have hurricane force."
"hydraulic engineering","A branch of civil engineering concerned with the design, erection, and construction of sewage disposal plants, waterworks, dams, water-operated power plants and such."
"hydraulics","The branch of science and technology concerned with the mechanics of fluids, especially liquids."
"hydrobiology","Study of organisms living in water.\n(Source: ZINZAN)"
"hydrocarbon","A very large group of chemical compounds composed only of carbon and hydrogen.\n(Source: MGH)"
"hydrochloric acid","A solution of hydrogen chloride gas in water."
"hydroculture","Cultivation of plants without soil but in sand or vermiculite or other granular material, using a liquid solution of nutrients to feed them."
"hydroelectric power plant","Power station which operates with the free renewable source of energy provided by falling water."
"hydrogen","A flammable colourless gas that is the lightest and most abundant element in the universe. It occurs mainly in water and in most organic compounds and is used in the production of ammonia and other chemicals, in the hydrogenation of fats and oils, and in welding."
"hydrogeology","The science dealing with the occurrence of surface and ground water, its utilization, and its functions in modifying the earth, primarily by erosion and deposition."
"hydrography","Science which deals with the measurement and description of the physical features of the oceans, lakes, rivers, and their adjoining coastal areas, with particular reference to their control and utilization."
"hydrologic balance","An accounting of the inflow to, outflow from, and storage in a hydrologic unit such as a drainage basin, aquifer, soil zone, lake or reservoir; the relationship between evaporation, precipitation, runoff, and the change in water storage."
"hydrologic cycle","The movement of water between the oceans, ground surface and atmosphere by evaporation, precipitation and the activity of living organisms."
"hydrology","The science that treats the occurrence, circulation, distribution, and properties of the waters of the earth, and their reaction with the environment."
"hydrology","The science that treats the occurrence, circulation, distribution, and properties of the waters of the earth, and their reaction with the environment.\n(Source: MGH)"
"hydrolysis","Decomposition or alteration of a chemical substance by water; in aqueous solutions of electrolytes, the reactions of cations with water to produce a weak base or of anions to produce a weak acid.\n(Source: MGH)"
"hydrometeorology","That part of meteorology of direct concern to hydrologic problems, particularly to flood control, hydroelectric power, irrigation, and similar fields of engineering and water resource.\n(Source: ZINZAN)"
"water power","Energy obtained from natural or artificial waterfalls, either directly by turning a water wheel or turbine, or indirectly by generating electricity in a dynamo driven by a turbine."
"hydrosphere","All the waters of the Earth, as distinguished from the rocks, living things , and the air."
"hygiene","A set of practices associated with the preservation of health, the prevention and fighting of diseases and healthy living."
"hygiene","The study and use of practical measures for the preservation of public health."
"hymenopteran","Insects including bees, wasps, ants, and sawflies, having two pair of membranous wings and an ovipositor specialized for stinging, sawing or piercing.\n(Source: CED)"
"ice","The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals."
"ice","To cool with ice."
"ice","An addictive psychoactive drug of formula C₁₀H₁₅N."
"iceberg","A large mass of detached land ice floating in the sea or stranded in shallow water."
"ideology","A body of ideas that reflects the beliefs and interest of a nation, political system, etc. and underlies political action.\n(Source: CED)"
"image processing","The process of converting 'raw' remotely sensed data into a usable form through the application of various transformations such as supervised and unsupervised classification schemes.\n(Source: FORUMT)"
"immission","The reception of material, such as pollutants, by the environment and from any source."
"immission control","Legislative and administrative procedures aimed at reducing the damage caused by emissions. Pollution control programmes are normally based on human-oriented acceptable dose limits. A very important measure concerns the organisation of an emission inventory.\n(Source: GOODa)"
"immission control law","A law that protects the residents' health and resources of a region by limiting air pollution."
"immission damage","Damage caused by pollution from a distinct source of emission."
"immission forecast","The prediction of immissions is calculated on the basis of the pollutant load, the source height, the wind speed and the dispersion coefficient."
"immune system","A body system that helps an organism to resist disease, through the activities of specialised blood cells or antibodies produced by them in response to natural exposure or inoculation.\n(Source: KOREN /  CED)"
"immunity","The ability of an organism to resist disease or toxins by natural or artificial means."
"immunoassay","Any of several methods for the quantitative determination of chemical substances such as hormones, drugs, and certain proteins that utilize the highly specific binding between an antigen and an antibody."
"immunological disease","The disruption of the complex system of interacting cells, cell products and cell-forming tissues that protect the body from pathogens, destroys infected and malignant cells and removes cellular debris.\n(Source: SMD / RHW)"
"immunology","A branch of biology concerned with the native or acquired resistance of higher animal forms and humans to infections."
"impactor","Instrument which samples atmospheric suspensoids by impaction; such instruments consist of a housing which constrains the air flow past a sensitized sampling plate."
"import","The act of bringing goods and merchandise into a country from a foreign country."
"import","To bring (something) in from a foreign country, especially for sale or trade."
"import","An object brought from a foreign country, especially for sale or trade."
"impoverishment","The state of having little or no money and few or no material possessions"
"impulsive noise","Noise characterized by transient short-duration disturbances distributed essentially uniformly over the useful passband of a transmission system."
"incineration","The burning of a dead body."
"incineration of waste","The controlled burning of solid, liquid, or gaseous combustible wastes to produce gases and solid residues containing little or no combustible material in order to reduce the bulk of the original waste materials."
"incinerator","Device which burns waste."
"slope","The inclined surface of any part of the Earth's surface, as a hillslope; also, a broad part of a continent descending toward an ocean, as the Pacific slope.\n(Source: BJGEO)"
"slope","To be at an angle; to move downwards."
"income","The gain derived from capital, from labour or effort, or both combined, including profit or gain through sale or conversion of capital."
"income","Compensation for the selling of goods and services."
"income","Payment received for goods or services or coming from other sources as for instance, investments."
"income","Money that a person or an institution obtains."
"incorporation","The act of incorporating a substance to another substance."
"indemnity","Financial compensation, reimbursement or security for damages or loss offered by a government, insurance policy or contractual agreement under specified conditions and for specific casualties."
"Indian Ocean","A body of water between the continents of Africa, Antarctica, Asia and Australia including the Bay of Bengal in the east and the Arabian Sea (with the Red Sea, the Gulf of Aden and the Persian Gulf) in the west, and containing several islands and island chains, such as the Andaman, Nicobar and Seychelles."
"indicator","A blinking light mounted near the left and right front and rear corners of a vehicle, and sometimes on the sides, used to indicate the intention of a lateral change of position (turn or lane change)."
"indigenous forest","Forests which are native to a given area."
"indoor environment","Environment situated in the inside of a house or other building."
"industrial area","Areas allocated for industry within a town-planning scheme or environmental plan. The range of industries accommodated in a plan may include: light industry, service industry, general industry, hazardous, noxious or offensive industry, waterfront industry, extractive industry. Standards are usually defined for industrial areas relating to access and roads, drainage, car parking, aesthetics, landscaping, buffer zones, noise levels, and air and water pollution.\n(Source: GILP96)"
"industrial medicine","The branch of medicine which deals with the relationship of humans to their occupations, for the purpose of the prevention of disease and injury and the promotion of optimal health, productivity, and social adjustment."
"industrial process","Procedures involving chemical or mechanical steps to aid in the manufacture of items, usually carried out on a very large scale."
"industrial site","The location for the individual manufacturing firm."
"industrial sludge","Sludge produced as a result of industrial production processes or manufacturing."
"industrial society","A large-scale community with diverse manufacturing sectors and an infrastructure and economy based on the science, technology and instrumental rationality of the modern West."
"industrial waste","Waste materials discarded from industrial operations, or derived from manufacturing processes; may be solid, sludge (wet solids) or liquid wastes and may or may not be considered hazardous.\n(Source: HMD /  ISEP)"
"industry","A group of establishments engaged in the same or similar kinds of economic activities. They produce a range of commodities that are sold with the expectation of recovering the total cost of production."
"inert waste","Wastes that do not undergo any significant physical, chemical, or biological transformations when deposited in a landfill."
"infant mortality","The rate of deaths occurring in the first year of life for a given population."
"infection","The entry and development or multiplication of an infectious agent in the body of a living organism."
"infection","Process in which a disease is transmitted."
"infectious disease","Pathogenic condition resulting from invasion of an host by a pathogen that propagates causing infection."
"infectious disease","A disease caused by a microorganism or other agent, such as a bacterium, fungus, or virus, that enters the body of an organism."
"infestation of crops","Invasion of crop by parasites."
"infiltration","Movement of water through the soil surface into the ground."
"inflammable substance","Substance liable to catch fire."
"informatics","Science and technique of data elaboration and of automatic treatment of information."
"information","All facts, ideas or imaginative works of the mind which have been communicated, published or distributed formally or informally in any format, or the knowledge that is communicated or received."
"information service","An organized system of providing assistance or aid to individuals who are seeking information, such as by using databases and other information sources to communicate or supply knowledge or factual data.\n(Source: RHW / OMD)"
"information system","Any coordinated assemblage of persons, devices and institutions used for communicating or exchanging knowledge or data, such as by simple verbal communication, or by completely computerized methods of storing, searching and retrieving information.\n(Source: MHD)"
"information technology","The systems, equipment, components and software required to ensure the retrieval, processing and storage of information in all centres of human activity (home, office, factory, etc.), the application of which generally requires the use of electronics or similar technology."
"infraction","A breach, violation, or infringement; as of a law, a contract, a right or duty."
"infraction","A crime less serious than a felony."
"infrared radiation","Electromagnetic radiation whose wavelengths lie in the range from 0.75 or 0.8 micrometer to 1000 micrometers."
"infrasound","Vibrations of the air at frequencies too low to be perceived as sound by the human ear, below about 15 hertz."
"infrastructure","The basic network or foundation of capital facilities or community investments which are necessary to support economic and community activities."
"inhabitant","A person occupying a region, town, house, country, etc."
"inhabitant","A human, officially being inhabitant of certain area inside well defined, and precise, borders - usually seen from a standpoint of census, government, register, etc."
"injury","A stress upon an organism that disrupts the structure or function and results in a pathological process."
"ink","A dispersion of a pigment or a solution of a dye in a carrier vehicle, yielding a fluid, paste, or powder to be applied to and dried on a substrate; writing, marking, drawing, and printing inks are applied by several methods to paper, metal, plastic, wood, glass, fabric, or other substrate."
"inland fishery","Fishing in lakes, streams, etc."
"inland navigation","The navigation of inland waterways, i.e. navigable rivers, canals, sounds, lakes, inlets, etc."
"inland water","A lake, river, or other body of water wholly within the boundaries of a state.\n(Source: MGH)"
"inland waterways transport","Transportation of persons and goods by boats travelling on rivers, channels or lakes."
"innovation","Something newly introduced, such as a new method or device."
"inorganic chemistry","A branch of chemistry dealing with the chemical reactions and properties of all inorganic matter.\n(Source: LEE)"
"inorganic substance","Chemical compound that does not contain carbon as the principal element (excepting carbonates, cyanides, and cyanates).\n(Source: MGH)"
"insecticide","Any chemical agent used to destroy invertebrate pests."
"insectivore","(Insectivora) Order of placental mammals, being typically small, with simple teeth, and feeding on invertebrates."
"insectivore","An animal with a diet that consists chiefly of insects and similar small creatures."
"in situ","In the natural or normal place."
"inspection","An official examination and evaluation of the extent to which specified goals, objectives, standards, policies or procedures of an agency, organization, department or unit have been met properly."
"inspection service","An organization designated to look into, supervise and report upon, the staff members and workings of some institution or department, or the conforming to laws and regulations by a segment of society or other group.\n(Source: OED)"
"sound insulation material","Material used to reduce the transmission of sound to or from a body, device, room, etc."
"insurance","An agreement of providing financial protection contingencies, such as death, loss or damage and involving payment of regular premiums in return for a policy guaranteeing such protection."
"insurance","The business of providing a financial protection against most losses or harm to a person, property or a firm in return for premiums paid."
"insurance coverage","The protection provided against risks or a risk, often as specified by the type of protection or the item being protected."
"intensive farming","Farming in which as much use is made of the land as possible by growing crops close together or by growing several crops in a year or by using large amounts of fertilizers.\n(Source: PHC)"
"interaction of pesticides","The enhancement of activity of pesticides when they are used in combination with others.\n(Source: PARCOR)"
"interchange of electronic data","A transference of binary coded information items between two or more computers across any communications channel capable of carrying electromagnetic signals."
"interdisciplinary research","The utilisation, combination and coordination of two or more appropriate disciplines, technologies and humanities in an integrated approach toward problems."
"interest","A sum paid or charged for the use of money or for borrowing money over a given time period."
"interest","A great attention and concern from someone or something."
"interest","That which affects one's welfare or happiness."
"interest","To attract attention or concern; to excite the curiosity of; to engage the interest of."
"interest","To be on the mind of."
"interest","To be of importance or consequence."
"interest group","A group of people who share common traits, attitudes, beliefs or objectives and who have formed a formal organization to serve specific concerns of the membership."
"interlaboratory comparison","Tests performed at the same time in different laboratories to validate the quality of the results."
"international agreement","Cooperation in international efforts to support global goals."
"international competitiveness","The ability of firms to strive with rivals in the production and sale of commodities in worldwide markets.\n(Source: ODE / OED)"
"international convention","Treaties and other agreements of a contractual character between different countries or organizations of states creating legal rights and obligations between the parties."
"International Court of Justice","Judicial arm of the United Nations. It has jurisdiction to give advisory opinions on matters of law and treaty construction when requested by the General Assembly, Security Council or any other international agency authorised by the General Assembly to petition for such opinion. It has jurisdiction, also, to settle legal disputes between nations when voluntarily submitted to it.\n(Source: BLACK)"
"international law","The system of law regulating the interrelationship of sovereign states and their rights and duties with regard to one another."
"international safety","Freedom from danger or the quality of averting risk of harm to persons, property or the environment shared across one or more national boundaries; consequently, the combined efforts of more than one nation to achieve or preserve that state.\n(Source: OED / RHW)"
"international trade","The flow of commodities and goods between nations."
"interpretation method","Method employed in the assessment of the meaning and significance of data, results, facts, etc."
"intertidal zone","The area between land and sea which is regularly exposed to the air by the tidal movement of the sea."
"inventory","A detailed list of articles, goods, property, etc."
"inversion","A reversal in the usual direction of a process, as in the change of density of water at 4° C.\n(Source: PITT)"
"inversion layer","The atmosphere layer through which an inversion occurs."
"invertebrate","Any animal lacking a backbone, including all species not classified as vertebrates."
"invertebrate","Lacking a backbone."
"investment","Any item of value purchased for profitable return, as income, interest or capital appreciation."
"in vitro assay","Assay taking place in an artificial environment."
"in vivo assay","Experiment that is carried out in the living organism."
"iodine","A nonmetallic halogen element; the poisonous, corrosive dark plates or granules are readily sublimed; insoluble in water, soluble in common solvents; used as germicide and antiseptic, in dyes, tinctures, and pharmaceuticals, in engraving lithography, and as a catalyst and analytical reagent."
"ion exchange","The process in which ions are exchanged between a solution and an insoluble solid, usually a resin."
"ion exchanger","A permanent insoluble material (usually a synthetic resin) which contains ions that will exchange reversibly with other ions in a surrounding solution."
"ionosphere","A region of the earth's atmosphere, extending from about 60 to 1000 kilometers above the earth's surface, in which there is a high concentration of free electrons and ions formed as a result of ionizing radiation entering the atmosphere from space."
"ion","An electrically charged atom or group of atoms formed by the loss or gain of one or more electrons."
"iron","A malleable ductile silvery-white ferromagnetic metallic element with symbol Fe and atomic number 26, occurring principally in haematite and magnetite. It is widely used for structural and engineering purposes."
"iron","Made out of iron."
"iron","A small appliance used in ironing to remove wrinkles from fabric."
"iron","To remove wrinkles from fabric."
"irradiation","Exposure to or treatment with light or other electromagnetic radiation or with beams of particles."
"irrigation","The act of supplying land with water so that crops and plants will grow or grow stronger."
"irrigation canal","A permanent irrigation conduit constructed to convey water from the source of supply to one or more farms."
"irrigation farming","Farming based on the artificial distribution and application of water to arable land to initiate and maintain plant growth.\n(Source: GOODa)"
"island","A land mass, especially one smaller than a continent, entirely surrounded by water."
"island","A barrier on roads and highways between the opposing flows of traffic, usually covered with vegetation."
"island","Area in the middle of a road where pedestrians can wait while crossing."
"island ecosystem","Unique but fragile and vulnerable ecosystem due to the fact that the evolution of their flora and fauna has taken place in relative isolation. Many remote islands have some of the most unique flora in the world; some have species of plants and animals that are not found anywhere else, which have evolved in a specialized way, sheltered from the fierce competition that species face on mainland."
"isomer","Two or more compounds having the same molecular formula, but a different arrangement of atoms within the molecule. (Source: CED /  MGH)"
"isomer","One of two or more chemical substances having the same elementary percentage composition and molecular weight but differing in structure, and therefore in properties; there are many ways in which such structural differences occur.\n(Source: CED /  MGH)"
"isotope","Any of two or more atoms with the same atomic number that contain different numbers of neutrons."
"ivory","The fine-grained creamy-white dentine forming the tusks of elephants, and the teeth or tusks of certain other large animals such as the walrus; it has long been esteemed for a wide variety of ornamental articles.\n(Source: BJGEO)"
"joint debtor","Persons united in a joint liability or indebtedness. Two or more persons jointly liable for the same debt."
"judicial assistance","A program sponsored or administered by a government to guide through and represent in court proceedings persons who are in financial need and cannot afford private counsel.\n(Source: BLD)"
"judicial body","Any public organization or branch of government responsible for the administration of justice or the enforcement of laws.\n(Source: BLD)"
"jurisdiction","The power of a court to hear and decide a case or give a certain punishment or sanction."
"jurisdiction","The area or territory where a particular person or group of people (such as a court) has the right to excersise their legal authority."
"jurisprudence","The science or philosophy of law."
"karst","A geological formation resulting from the erosion of carbonate rocks."
"stocking","A soft garment worn on the foot and lower leg, usually knit or woven, worn under shoes or other footwear."
"kerosene","Higly refined kerosene used as fuel for jet engines."
"kerosene","Higly refined sulphurless kerosene used for kerosene lamps, lanterns and portable stoves and produces very little soot."
"laboratory","A room or building with scientific equipment for doing scientific tests or for teaching science, or a place where chemicals or medicines are produced."
"laboratory experiment","Experimental tests or investigations carried out in a laboratory.\n(Source: CEDa)"
"laboratory research","Research carried out in a laboratory for testing chemical substances, growing tissues in cultures, or performing microbiological, biochemical, hematological, microscopical, immunological, parasitological tests, etc.\n(Source: PHC)"
"laboratory technique","The sum of procedures used on natural sciences such as chemistry, biology, physics in order to conduct an experiment, all of them following the scientific method."
"laboratory waste","Discarded materials produced by analytical and research activities in a laboratory.\n(Source: ERG)"
"lacquer","A material which contains a substantial quantity of a cellulose derivative, most commonly nitrocellulose but sometimes a cellulose ester, such as cellulose acetate or cellulose butyrate, or a cellulose ether such as ethyl cellulose; used to give a glossy finish, especially on brass and other bright metals."
"lagoon","A body of water cut off from the open sea by coral reefs or sand bars."
"lake basin","The depression in the Earth's surface occupied or formerly occupied by a lake."
"lake pollution","The direct or indirect human alteration of the biological, physical, chemical or radiological integrity of lake water, or a lake ecosystem.\n(Source: Landy)"
"lake","An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded."
"lamp","A device for producing light."
"land","A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization.\n(Source: WHIT)"
"land","The range occupied by a community or other group."
"land","To descend to a surface, especially from the air; to arrive on shore."
"land","The part of Earth which is not covered by oceans or other bodies of water."
"land","A partitioned and measurable area on the Earth which is owned."
"land","Area that is suitable for farming."
"land","In a compact disc or similar recording medium, an area of the medium which does not have pits."
"land","The space between the rifling grooves in a gun."
"land","A strip area in a field between furrows made for irrigation."
"land","The geographic area under the control of a political state."
"land","Territorial possessions."
"land","To descend, reach or come to rest."
"land","To deliver (a blow)."
"land and property register","The system of registering certain legal estates or interests in land. It describes the land and any additional rights incidental to it, such as rights of way over adjoining land.\n(Source: DICLAW)"
"land clearing","Removal of trees, undergrowth, etc. in preparation for ploughing, building, etc."
"land consolidation","Joining small plots of land together to form larger farms or large fields."
"land cover","Interface between the earth's crust and the atmosphere made of a combination of vegetation, soil, rock, water and human-made structures."
"land ecology","Study of the relationship between terrestrial organisms and their environment."
"landfill","A site where garbage is collected and buried."
"landfill covering","The protective shielding, consisting of soil or some other material, that encloses disposal sites for waste to minimize the chance of releasing hazardous substances into the environment."
"landfill degasification","Landfill gas is highly dangerous as methane is highly explosive; therefore it must be controlled at all operational landfill sites, whether by active or passive ventilation or both especially in the case of deep sites. There exist venting systems for shallow and deep sites respectively.\n(Source: PORT)"
"landform","Any physical, recognizable form or feature of the Earth's surface, having a characteristic shape and produced by natural causes; it includes major forms such as plane, plateau and mountain, and minor forms such as hill, valley, slope, esker, and dune. Taken together the landforms make up the surface configuration of the Earth's.\n(Source: BJGEO)"
"land mammal","Mammal that lives on shore."
"land planning","The activity of designing, organizing or preparing for the future use of solid areas of the earth's surface, especially regions valued for natural resources, utilized as agricultural resources or considered for human settlement.\n(Source: RHW)"
"land register","A public register containing information on the land and landowners."
"landscape","The traits, patterns, and structure of a specific geographic area."
"landscape","A mode of printing where the horizontal sides are longer than the vertical sides."
"landscape architecture","The creation, development, and decorative planting of gardens, grounds, parks, and other outdoor spaces."
"landscape conservation","The safeguarding, for public enjoyment, of landscape and of opportunities for outdoor recreation, tourism and similar activities; the concept includes the preservation and enhancement not only of what has been inherited but the provision of new amenities and facilities."
"landscape ecology","The study of landscapes taking account of the ecology of their biological populations. The subjects thus embraces geomorphology and ecology and is applied to the design and architecture of landscapes.\n(Source: ALL2)"
"landslide","Mass-movement landforms and processes involving the downslope transport, under gravitationary influence of soil and rock material en masse."
"land value","The monetary or material worth in commerce or trade of an area of ground considered as property."
"laser","A device that produces a powerful, highly directional, monochromatic, coherent beam of light."
"laundering","The act of washing and ironing clothes, linen, etc."
"law amendment","An alteration of or addition to any statute with legal force that, if approved by the appropriate legislative authority, supersedes the original statute."
"law enforcement","Any variety of activities associated with promoting compliance and obedience to the binding rules of a state, especially the prevention, investigation, apprehension or detention of individuals suspected or convicted of violating those rules."
"leaching","1) The process of separating a liquid from a solid (as in waste liquid by percolation into the surrounding soil. \n2) Extraction of soluble components of a solid mixture by percolating a solvent through it.\n3) To lose or cause to lose soluble substances by the action of a percolating liquid."
"lead","A heavy toxic bluish-white metallic element with symbol Pb and atomic number 82 that is highly malleable; occurs principally as galena and is used in alloys, accumulators, cable sheaths, paints, and as a radiation shield."
"lead","To be ahead of others, e.g., in a race."
"lead","The distance that a shooter aims ahead of a moving target in order to hit it with the projectile."
"lead","To treat with lead."
"lead","To move ahead (of others) in time or space."
"lead","A small stick of graphite used in pencil that leaves marks when rubbed against a surface."
"lead compound","A chemical compound present as gasoline additives, in paint, ceramic products, roofing, caulking, electrical applications, tubes, or containers. Lead exposure may be due to air, water, food, or soil. Lead in the air is primarily due to lead-based fuels and the combustion of solid waste, coal, oils, and emissions from alkyl lead manufacturers, wind blown dust volcanoes, the burning of lead-painted surfaces, and cigarette smoke. Lead in drinking water comes from leaching from lead pipes, connectors, and solder in both the distribution system and household plumbing.\n(Source: KOREN)"
"lead level in blood","A measure of the amount of lead or lead salts absorbed by the body as a possible sign of acute or chronic lead poisoning, which can affect the nervous, digestive or muscular systems."
"leaf","The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk."
"leaf","A sheet of a book, magazine, etc (consisting of two pages, one on each face of the leaf)."
"leakage","The accidental, uncontrolled discharge or seepage of liquids, gases and other substances to unintended and unwanted locations, frequently causing risks of damage or harm to persons, property or the environment."
"leather","The dressed or tanned hide of an animal, usually with the hair removed."
"leather industry","Industry for the production of leather goods such as garments, bags, etc."
"legal basis","The fundamental law or judicial precedent that warrants or supports a subsequent decision or action by any governmental, corporate or private entity."
"legal regulation","Any order or rule issued by a government stipulating its procedures for the creation, execution or adjudication of laws."
"legal remedy","The means by which a right is enforced or the violation of a right is prevented, redressed, or compensated.\n(Source: BLACK)"
"legal text","The exact wording or language of a law or other document in conformity with the law or having the authority of law.\n(Source: BLD)"
"legislation","The act or process of making laws."
"legislative authority","The power of a deliberative assembly of persons or delegates to bring a bill, resolution or special act to an official, legally binding status.\n(Source: RHW)"
"legislative competence","The skill, knowledge, qualification, capacity or authority to make, give or enact rules with binding force upon a population or jurisdiction."
"legislature","The department, assembly, or body of persons that makes statutory laws for a state or nation."
"leisure time","Time free from work or other duties; spare time."
"lepidopteran","Any insect of the order Lepidoptera that has a slender body with clubbed antennae and typically rests with the wings (which are often brightly coloured) closed over the back."
"levy","A ratable portion of the produce of the property and labor of the individual citizens, taken by the nation, in the exercise of its sovereign rights, for the support of government, for the administration of the laws, and as the means for continuing in operation the various legitimate functions of the state."
"lexicon","The vocabulary of a particular sphere of activity, region, social class or individual, or the total set of morphemes or meaningful units of a language and its words."
"liability","Subjection to a legal obligation. Liability is civil or criminal according to whether it is enforced by the civil or criminal courts."
"liability","Responsibility to someone or for some activity."
"liability","An obligation to pay money to another party."
"liability","The quality of being something that holds you back."
"library","Place where books and other literary materials are kept."
"library","A collection of subroutines used to develop software."
"lichen","Composite organisms formed by the symbiosis between species of fungi and an algae."
"life cycle","The phases, changes, or stages through which an organism passes throughout its lifetime."
"life cycle","The useful life of a product or system; the developmental history of an individual or group in society."
"life science","A science based on living organisms collectively."
"lifestyle","The particular attitudes, habits or behaviour associated with an individual or group."
"light","A device for producing light."
"light","Electromagnetic radiation that is capable of causing a visual sensation."
"light","To start (a fire)."
"light","To give light to (something)."
"light","Of low weight."
"light","Object, natural or artificial, that produces light."
"light","Having colors relatıvely near white."
"light","(of the military or industry) using (or being) relatively small or light weapons or equipment."
"light","Low in degree or quantity or number (e.g. of rain, snow, accent)."
"light","Psychologically light; especially free from sadness or troubles."
"light","Low in fat, calories, alcohol, salt, etc."
"light","(used of soil) loose and large-grained in consistency."
"lighting","The supply of illumination in streets or dwellings."
"separator of light liquids","A mechanical device for separating and removing residues from fuel and lubricating oil from waste water coming from filling stations and industrial plants in order to avoid pollution of water bodies; this system is based on the different specific weights of water and fuel residues that float on the water and can be easily removed."
"lignite","Coal of relatively recent origin consisting of accumulated layers of partially decomposed vegetation, intermediate between peat and bituminous coal; often contains patterns from the wood from which it formed.\n(Source: MGH /  CED /  WRIGHT)"
"lignite mining","Extraction of brown coal from natural deposits; lignite is a brownish-black solid fuel in the second stage in the development of coal. It has a little over half the heating value of bituminous or anthracite coal.\n(Source: KORENa)"
"lime","Any of various mineral and industrial forms of calcium oxide differing chiefly in water content and percentage of constituent such as silica, alumina and iron."
"lime","A green citrus fruit"
"limestone","A sedimentary rock consisting chiefly of calcium carbonate, primarily in the form of the mineral calcite and with or without magnesium carbonate."
"limnology","The study of bodies of fresh water with reference to their plant and animal life, physical properties, geographical features, etc.\n(Source: CED)"
"linear source of sound","Point noise sources placed one after the other one as, for instance, in a row of cars moving on a road.\n(Source: VALAMB)"
"line source","A source of air, noise, water contamination or electromagnetic radiation that emanates from a linear source such as a road."
"lipid","One of a class of compounds which contain long-chain aliphatic hydrocarbons and their derivatives, such as fatty acids, alcohols, amines, amino alcohols, and aldehydes; includes waxes, fats, and derived compounds.\n(Source: MGH)"
"liquefied gas","A gaseous compound or mixture converted to the liquid phase by cooling or compression; examples are liquefied petroleum gas (LPG), liquefied natural gas (LNG), liquid oxygen, and liquid ammonia."
"liquid manure","Any fertilizer substance with a moisture content of over ninety percent, usually consisting of animal excrement with water added."
"liquid manure","Liquid excrements of animals and people, accumulated for reuse as fertilizer."
"liquid state","A state of matter intermediate between that of crystalline substances and gases in which a substance has the capacity to flow under extremely small shear stresses and conforms to the shape of a confining vessel, but is relatively incompressible, lacks the capacity to expand without limit, and can posses a free surface."
"literature","Written material such as poetry, novels, essays, especially works of imagination characterized by excellence of style and expression and by themes of general or enduring interest."
"literature data bank","A fund of information on a particular subject or group of related subjects, divided into discrete documents and usually stored in and used with a computer system.\n(Source: RHW)"
"literature study","The identification, description, analysis and classification of books and other materials used or consulted in the preparation of a work.\n(Source: WEBSTE)"
"lithosphere","The solid portion of the Earth, as compared with the atmosphere and the hydrosphere.\n(Source: BJGEO)"
"litter","Straw, hay or similar material used as bedding by animals."
"litter","Small pieces of garbage, such as cans, bottles and wrappings, that people have left in a public place."
"litter","A seat mounted on a frame with two poles on which a person can be carried."
"littoral","The intertidal zone of the seashore."
"livestock","Cattle, horses, and similar animals kept for domestic use especially on a farm."
